縣市,區域,店名,地址,電話,LINE聯絡方式,網站,地圖連結
高雄市,鼓山區,艾.Pretty 時尚美甲美睫 蘆竹南崁店 - 美甲、美睫、手足保養,,0916 127 112,N/A,https://instagram.com/amy0312__nails?r=nametag,https://www.google.com/maps/place/?q=place_id:ChIJZX0kae4faDQRFA2pPkYkG0Q
高雄市,鼓山區,YLbeauty美學 桃園南崁紋綉/桃園美甲/桃園美睫/材料批發,,0929 969 886,N/A,N/A,https://www.google.com/maps/place/?q=place_id:ChIJSese_hGhQjQR_iHWQVNPgTY
高雄市,鼓山區,蒔玖shijiu_beauty-美甲-美睫-妝髮造型-睫毛管理,,N/A,N/A,https://instagram.com/shijiu_beauty?igshid=YmMyMTA2M2Y=,https://www.google.com/maps/place/?q=place_id:ChIJ6ehie2kfaDQR1NqzSarbp1w
高雄市,鼓山區,眉睫小舖,,03 312 5250,N/A,N/A,https://www.google.com/maps/place/?q=place_id:ChIJZXZsVdwfaDQRaMhd47-DaRc
高雄市,鼓山區,睫美緣美睫美甲店/南崁美睫/南崁美甲/南崁/蘆竹/桃園/美睫/美甲,,0909 775 693,N/A,https://www.instagram.com/eye20160323?igshid=YTQwZjQ0NmI0OA==,https://www.google.com/maps/place/?q=place_id:ChIJ68u3pgIfaDQRhf45Omx-XgU
高雄市,鼓山區,貳•Studio「美甲|美睫|美容|美體」,,N/A,N/A,https://instagram.com/_two_207?igshid=OGQ5ZDc2ODk2ZA==,https://www.google.com/maps/place/?q=place_id:ChIJr_cHpYYfaDQR51Bn-DRH4_Y
高雄市,鼓山區,Nice時尚美甲美睫,,0939 719 770,N/A,N/A,https://www.google.com/maps/place/?q=place_id:ChIJkV_j7NwfaDQRPFeFhHUy0yo
高雄市,鼓山區,MI BEAUTY大興店 桃園美睫 桃園美睫教學 桃園睫毛教學 桃園睫毛 小紅書睫毛,,0976 294 588,N/A,https://lin.ee/Jpr4kwT,https://www.google.com/maps/place/?q=place_id:ChIJJQR3MrAfaDQREmZm6haYwyg
高雄市,鼓山區,Hi! Nails嗨執甲｜桃園美甲｜桃園美容｜桃園美睫｜美甲教學,,03 316 5955,N/A,https://lin.ee/IyZSyQT,https://www.google.com/maps/place/?q=place_id:ChIJ2yVYqAQfaDQRSK2oDCxBCQs
高雄市,鼓山區,桃園E美學館/美甲/紋繡/美容/美睫,,0938 087 660,N/A,N/A,https://www.google.com/maps/place/?q=place_id:ChIJ162e2OsfaDQRMSVrmnF_sAc
高雄市,鼓山區,YOUNG HAIR髮型設計,,03 311 2222,N/A,N/A,https://www.google.com/maps/place/?q=place_id:ChIJCWKxJ1YfaDQR0hgEN4L9y7E
高雄市,鼓山區,星晴形象美學-美髮、美甲、美睫、美體、半永久化妝眉眼唇、藝術刺青,,0901 313 540,N/A,https://lin.ee/CAhEL9e,https://www.google.com/maps/place/?q=place_id:ChIJ98VcrXMfaDQR_BojpemDkGE
高雄市,鼓山區,東京美學（美甲/美睫）桃園店,,03 358 9937,N/A,https://line.me/R/ti/p/%40tokyonaildesign,https://www.google.com/maps/place/?q=place_id:ChIJt5YPpLAfaDQR281IUwk0JvY
高雄市,鼓山區,V皇后 美甲美睫,,0976 446 688,N/A,https://www.facebook.com/V%E7%9A%87%E5%90%8E-%E7%BE%8E%E7%94%B2%E7%BE%8E%E7%9D%AB-1045992148746587/,https://www.google.com/maps/place/?q=place_id:ChIJSQXbudkfaDQRADfVLgjVy_0
高雄市,鼓山區,15 拾嫵美学,,03 357 3973,N/A,https://www.15beauty.com.tw/,https://www.google.com/maps/place/?q=place_id:ChIJKyqdB7sfaDQRQ4routkisHA
高雄市,鼓山區,璨妍美學 - 南崁美甲 手足保養 紋繡 霧眉 繡眉 飄眉 線條眉,,0926 063 767,N/A,https://linktr.ee/bright.tw,https://www.google.com/maps/place/?q=place_id:ChIJU9rWHg6hQjQR6D4XYbUYWdg
高雄市,鼓山區,1995nail美學工作室,,0926 253 720,N/A,https://lin.ee/F6RCBip,https://www.google.com/maps/place/?q=place_id:ChIJl_SBSxgfaDQRWb075t1EPjQ
高雄市,鼓山區,柔伊美睫 - 南崁美睫|南崁接睫毛|專業嫁接睫毛|6D/9D美睫|桃園接睫毛|桃園美睫|桃園專業接睫毛|桃園南崁專業美睫師,,0905 061 731,N/A,https://lin.ee/qmJXTT9,https://www.google.com/maps/place/?q=place_id:ChIJsaytstAfaDQRUWmoqBGoBCg
高雄市,鼓山區,LM beauty美學｜美甲｜美睫｜半永久,,03 338 8665,N/A,https://lin.ee/e8CtZjM,https://www.google.com/maps/place/?q=place_id:ChIJZ912aLQfaDQRjbmQXWS30H8
高雄市,鼓山區,南崁甄甄，美甲美睫美容紋繡 ，教學,,0988 312 536,N/A,N/A,https://www.google.com/maps/place/?q=place_id:ChIJJb7R2RuhQjQRshTceynguPA
